caseId,usCite,caseName,dateDecision,dayOfWeek
"1792-003","2 U.S. 402","THE STATE OF GEORGIA VERSUS BRAILSFORD, et al.","1792-08-11","Saturday"
"1792-004","2 U.S. 409","HAYBURN'S CASE","1792-08-11","Saturday"
"1795-006","3 U.S. 133","TALBOT, APPELLANT, VERSUS JANSON, APPELLEE, et al.","1795-08-22","Saturday"
"1796-006","3 U.S. 305","HUNTER VERSUS FAIRFAX'S DEVISEE","1796-08-06","Saturday"
"1797-002","3 U.S. 342","CLERKE, PLAINTIFF IN ERROR VERSUS HARWOOD","1797-02-11","Saturday"
"1800-002","4 U.S. 22","COURSE et al. VERSUS STEAD ET UX. et al.","1800-02-08","Saturday"
"1800-003","4 U.S. 22","BLAINE VERSUS SHIP CHARLES CARTER et al.","1800-02-08","Saturday"
"1803-008","5 U.S. 194","WILSON v. LENOX AND MAITLAND","1803-02-26","Saturday"
"1803-009","5 U.S. 282","THOMPSON v. JAMESON","1803-02-26","Saturday"
"1803-010","5 U.S. 290","MANDEVILLE AND JAMESON v. JOSEPH RIDDLE AND CO","1803-02-26","Saturday"
"1804-008","6 U.S. 127","HEAD &amp; AMORY v. THE PROVIDENCE INSURANCE COMPANY","1804-02-25","Saturday"
"1805-014","7 U.S. 140","HODGSON v. BUTTS","1805-03-02","Saturday"
"1805-015","7 U.S. 159","UNITED STATES v. BENJAMIN MORE","1805-03-02","Saturday"
"1805-016","7 U.S. 174","FAW v. ROBERDEAU'S EXECUTOR","1805-03-02","Saturday"
"1806-016","7 U.S. 337","THE UNITED STATES v. GRUNDY AND THORNBURGH","1806-02-22","Saturday"
"1806-019","7 U.S. 293","BUDDICUM v. KIRK","1806-03-01","Saturday"
"1807-005","8 U.S. 48","THE UNITED STATES v. WILLINGS AND FRANCIS","1807-02-14","Saturday"
"1807-006","8 U.S. 60","ONEALE v. LONG","1807-02-14","Saturday"
"1807-013","8 U.S. 164","HOPKIRK v. BELL","1807-02-28","Saturday"
"1807-014","8 U.S. 165","HICKS et al. v. ROGERS","1807-02-28","Saturday"
"1807-015","8 U.S. 167","THE UNITED STATES v. ZEBULON CANTRIL","1807-02-28","Saturday"
"1807-016","8 U.S. 169","STHRESHLEY AND OBANNON v. THE UNITED STATES","1807-02-28","Saturday"
"1807-017","8 U.S. 172","HUMPHREY MARSHALL AND WIFE, v. JAMES CURRIE","1807-02-28","Saturday"
"1807-018","8 U.S. 177","VIERS AND WIFE v. MONTGOMERY","1807-02-28","Saturday"
"1807-019","8 U.S. 179","DIGGS AND KEITH v. WOLCOTT","1807-02-28","Saturday"
"1807-033","8 U.S. 382","MATTHEWS v. ZANE","1808-03-12","Saturday"
"1807-034","8 U.S. 384","YOUNG v. THE BANK OF ALEXANDRIA","1808-03-12","Saturday"
"1808-006","8 U.S. 219","PAWLING AND OTHERS v. THE UNITED STATES","1808-02-27","Saturday"
"1809-026","9 U.S. 22","M'KEEN v. DELANCY'S LESSEE","1809-03-11","Saturday"
"1809-027","9 U.S. 333","DULANY v. HODGKIN","1809-03-11","Saturday"
"1810-001","9 U.S. 303","HODGSON AND THOMPSON v. BOWERBANK AND OTHERS","1810-02-10","Saturday"
"1810-003","10 U.S. 51","YOUNG v. GRUNDY","1810-02-10","Saturday"
"1810-007","10 U.S. 71","KING v. THE DELAWARE INSURANCE COMPANY","1810-02-17","Saturday"
"1810-010","10 U.S. 82","LEWIS v. HARWOOD","1810-02-24","Saturday"
"1810-014","10 U.S. 171","THE UNITED STATES v. HALL AND WORTH","1810-03-03","Saturday"
"1810-034","10 U.S. 202","ATKINSON v. THE MUTUAL ASSURANCE SOCIETY AGAINST FIRE, ON BUILDINGS OF THE STATE OF VIRGINIA","1810-03-17","Saturday"
"1810-035","10 U.S. 206","THE MARINE INSURANCE COMPANY OF ALEXANDRIA v. HODGSON","1810-03-17","Saturday"
"1810-036","10 U.S. 281","HUDSON AND SMITH v. GUESTIER","1810-03-17","Saturday"
"1810-037","10 U.S. 332","SERE AND LARALDE v. PITOT AND OTHERS","1810-03-17","Saturday"
"1810-038","10 U.S. 338","THE MARYLAND INSURANCE COMPANY v. RUDEN'S ADMINISTRATOR","1810-03-17","Saturday"
"1812-009","11 U.S. 26","MARYLAND INSURANCE COMPANY v. LE ROY, BAYARD &amp; M'EVERS","1812-02-22","Saturday"
"1812-019","11 U.S. 176","HUGHES v. MOORE","1812-03-07","Saturday"
"1812-033","11 U.S. 32","THE UNITED STATES v. HUDSON AND GOODWIN","1812-03-14","Saturday"
"1812-034","11 U.S. 194","BARTON v. PETIT AND BAYARD","1812-03-14","Saturday"
"1812-035","11 U.S. 208","SHEEHY v. MANDEVILLE","1812-03-14","Saturday"
"1812-036","11 U.S. 218","CONWAY'S EXECUTORS AND DEVISEES v. ALEXANDER","1812-03-14","Saturday"
"1812-037","11 U.S. 242","DUNLOP v. MUNROE","1812-03-14","Saturday"
"1812-038","11 U.S. 276","WISE &amp; LYNN v. THE COLUMBIAN TURNPIKE COMPANY","1812-03-14","Saturday"
"1812-039","11 U.S. 277","BLACKWELL v. PATTEN AND OTHERS","1812-03-14","Saturday"
"1812-040","11 U.S. 279","M'KIM v. VOORHIES","1812-03-14","Saturday"
"1813-003","11 U.S. 299","THE BANK OF COLUMBIA v. PATTERSON'S ADM'R","1813-02-13","Saturday"
"1813-004","11 U.S. 308","CLARK'S EXECUTORS v. CARRINGTON","1813-02-13","Saturday"
"1813-008","11 U.S. 349","THE SCHOONER GOOD CATHARINE v. THE UNITED STATES","1813-02-20","Saturday"
"1813-017","11 U.S. 389","THE SCHOONER HOPPET AND CARGO v. THE UNITED STATES","1813-02-27","Saturday"
"1813-020","11 U.S. 402","THE MARYLAND INSURANCE COMPANY. v. WOOD","1813-03-13","Saturday"
"1813-022","11 U.S. 415","BIAYS v. THE CHESAPEAKE INSURANCE COMPANY","1813-03-06","Saturday"
"1813-030","11 U.S. 487","OLIVER v. THE MARYLAND INSURANCE COMPANY","1813-03-13","Saturday"
"1814-006","12 U.S. 53","THE COMMON COUNCIL OF ALEXANDRIA v. PRESTON","1814-02-19","Saturday"
"1814-007","12 U.S. 72","CLEMENTSON v. WILLIAMS","1814-02-19","Saturday"
"1814-012","12 U.S. 75","GRACIE v. THE MARINE INSURANCE COMPANY OF BALTIMORE","1814-02-19","Saturday"
"1814-026","12 U.S. 253","THE VENUS, RAE, MASTER","1814-03-12","Saturday"
"1814-027","12 U.S. 317","THE MERRIMACK","1814-03-12","Saturday"
"1814-028","12 U.S. 335","THE FRANCES, BOYER, MASTER.  (THOMPSON AND AL. CLAIMANTS.","1814-03-12","Saturday"
"1814-029","12 U.S. 348","THE FRANCES, BOYER, MASTER.  (GRAHAM'S CLAIM.","1814-03-12","Saturday"
"1814-030","12 U.S. 354","THE FRANCES, BOYER, MASTER.  (DUNHAM AND RANDOLPH'S CLAIM.","1814-03-12","Saturday"
"1814-031","12 U.S. 358","THE FRANCES, BOYER, MASTER.  (KENNEDY'S CLAIM)","1814-03-12","Saturday"
"1814-032","12 U.S. 363","THE FRANCES, BOYER, MASTER.  (GILLESPIE'S CLAIM)","1814-03-12","Saturday"
"1815-008","13 U.S. 64","PARKER v. RULE'S LESSEE","1815-02-18","Saturday"
"1815-009","13 U.S. 71","BRIG STRUGGLE (THOMAS LEIGH, CLAIMANT.) v. THE UNITED STATES","1815-02-18","Saturday"
"1815-014","13 U.S. 120","THE ST. LAWRENCE, WEBB, MASTER.  (M'GREGOR AND PENNIMAN CLAIMANTS.","1815-02-25","Saturday"
"1815-015","13 U.S. 122","DRUMMOND'S ADMINISTRATORS v. MAGRUDER &amp; CO'S. TRUSTEES","1815-02-25","Saturday"
"1815-016","13 U.S. 126","THE MARY, STAFFORD, MASTER","1815-02-25","Saturday"
"1815-024","13 U.S. 191","THIRTY HOGSHEADS OF SUGAR, (ADRIAN B. BENTZON, CLAIMANT,) v. BOYLE AND OTHERS, BEING THE OFFICERS AND CREW OF THE PRIVATEER COMET","1815-03-04","Saturday"
"1815-025","13 U.S. 199","EVANS v. JORDAN AND MOREHEAD","1815-03-04","Saturday"
"1815-037","13 U.S. 374","THE UNITED STATES v. BRYAN AND WOODCOCK, (GARNISHEES OF HENDRICKSON.","1815-03-11","Saturday"
"1815-038","13 U.S. 387","THE BRIG CONCORD, TAYLOR, MASTER","1815-03-11","Saturday"
"1815-039","13 U.S. 388","THE NEREIDE, BENNETT, MASTER","1815-03-11","Saturday"
"1815-040","13 U.S. 456","PRATT, AND OTHERS, ORIGINAL COMPLAINANTS, v. THOMAS LAW, AND WILLIAM CAMPBELL, ORIGINAL DEFENDANTS","1815-03-11","Saturday"
"1816-001","14 U.S. 1","NEGRESS SALLY HENRY, BY WILLIAM HENRY, HER FATHER AND NEXT FRIEND, v. BALL","1816-02-10","Saturday"
"1816-013","14 U.S. 112","THE VENUS. -- JADEMEROWSKY, CLAIMANT","1816-03-02","Saturday"
"1816-024","14 U.S. 179","HEPBURN &amp; DUNDAS' HEIRS AND EXECUTORS v. DUNLOP &amp; COMPANY","1816-03-09","Saturday"
"1816-025","14 U.S. 208","THE ST. JOZE INDIANO. -- LIZAUR, CLAIMANT","1816-03-09","Saturday"
"1816-031","14 U.S. 261","THE EDWARD. -- SCOTT, CLAIMANT","1816-03-16","Saturday"
"1817-001","15 U.S. 13","GREENLEAF v. COOK","1817-02-08","Saturday"
"1817-012","15 U.S. 132","THE SAN PEDRO -- VALVERDE, CLAIMANT","1817-03-01","Saturday"
"1817-032","15 U.S. 178","LAIDLAW et al. v. ORGAN","1817-03-15","Saturday"
"1817-033","15 U.S. 248","THE UNITED STATES v. TENBROEK","1817-03-15","Saturday"
"1817-034","15 U.S. 278","THE GEORGE","1817-03-15","Saturday"
"1817-035","15 U.S. 345","THE ELEANOR.  DONNELL, CLAIMANT","1817-03-15","Saturday"
"1817-036","15 U.S. 373","LENOX et al. v. ROBERTS","1817-03-15","Saturday"
"1817-037","15 U.S. 380","LEEDS v. THE MARINE INSURANCE COMPANY OF ALEXANDRIA","1817-03-15","Saturday"
"1817-038","15 U.S. 385","RABORG et al. v. PEYTON","1817-03-15","Saturday"
"1817-039","15 U.S. 390","THE UNION BANK OF GEORGETOWN v. LAIRD","1817-03-15","Saturday"
"1817-040","15 U.S. 395","THE UNITED STATES v. BARKER","1817-03-15","Saturday"
"1817-041","15 U.S. 396","THELUSSON et al. v. SMITH","1817-03-15","Saturday"
"1818-016","16 U.S. 336","THE UNITED STATES v. BEVANS","1818-02-21","Saturday"
"1818-027","16 U.S. 435","THE ANNE, BARNABEU, CLAIMANT","1818-03-07","Saturday"
"1818-028","16 U.S. 449","BROWN v. JACKSON","1818-03-07","Saturday"
"1818-029","16 U.S. 454","EVANS v. EATON","1818-03-07","Saturday"
"1818-030","16 U.S. 591","CAMERON v. M'ROBERTS","1818-03-07","Saturday"
"1818-038","16 U.S. 610","THE UNITED STATES v. PALMER et al.","1818-03-14","Saturday"
"1819-014","17 U.S. 209","M'MILLAN v. M'NEILL","1819-02-20","Saturday"
"1819-015","17 U.S. 225","ELIASON et al. v. HENSHAW","1819-02-20","Saturday"
"1819-016","17 U.S. 230","SOMERVILLE'S EXECUTORS v. HAMILTON","1819-02-20","Saturday"
"1819-023","17 U.S. 316","M'CULLOCH v. THE STATE OF MARYLAND et al.","1819-03-06","Saturday"
"1819-024","17 U.S. 466","ASTOR v. WELLS et al.","1819-03-06","Saturday"
"1820-009","18 U.S. 207","STEVENSON'S HEIRS v. SULLIVANT","1820-03-04","Saturday"
"1821-024","19 U.S. 453","HUGHES v. BLAKE","1821-03-10","Saturday"
"1822-013","20 U.S. 212","HOOFNAGLE AND OTHERS v. ANDERSON","1822-03-02","Saturday"
"1822-021","20 U.S. 471","THE GRAN PARA. THE CONSUL-GENERAL OF PORTUGAL, LIBELLANT","1822-03-16","Saturday"
"1823-005","21 U.S. 261","THE EXPERIMENT","1823-02-15","Saturday"
"1823-010","21 U.S. 326","NICHOLLS, PLAINTIFF IN ERROR, v. WEBB, DEFENDANT IN ERROR","1823-02-22","Saturday"
"1823-014","21 U.S. 371","THE PITT.  M'NUTT, CLAIMANT","1823-03-01","Saturday"
"1823-015","21 U.S. 380","THE MARY ANN.  PLUMER, CLAIMANT","1823-03-01","Saturday"
"1823-027","21 U.S. 108","LA NEREYDA.  THE SPANISH CONSUL, LIBELLANT","1823-03-15","Saturday"
"1823-028","21 U.S. 681","THE CORPORATION OF THE CITY OF WASHINGTON, AND OTHERS, APPELLANTS, v. PRATT, FRANCIS, AND OTHERS, RESPONDENTS","1823-03-15","Saturday"
"1823-029","21 U.S. 690","SNEED AND OTHERS, PLAINTIFFS IN ERROR, v. WISTER AND OTHERS, DEFENDANTS IN ERROR","1823-03-15","Saturday"
"1824-008","22 U.S. 421","THE MARGARET, ALIAS CARLOS FERNANDO, HALEY, CLAIMANT","1824-02-28","Saturday"
"1824-009","22 U.S. 515","LOVE, PLAINTIFF IN ERROR, v. SIMMS' LESSEE, DEFENDANT IN ERROR","1824-02-28","Saturday"
"1824-010","22 U.S. 658","THE FANNY.  THE CONSUL-GENERAL OF PORTUGAL, LIBELLANT","1824-02-28","Saturday"
"1824-011","22 U.S. 680","MILLER v. STEWART AND OTHERS","1824-02-28","Saturday"
"1824-018","22 U.S. 558","SEBREE AND OTHERS, PLAINTIFFS IN ERROR, v. DORR, DEFENDANT IN ERROR","1824-03-06","Saturday"
"1824-019","22 U.S. 673","DANFORTH v. WEAR","1824-03-06","Saturday"
"1824-025","22 U.S. 598","GEORGE M'GRUDER, PLAINTIFF IN ERROR, v. THE PRESIDENT, DIRECTORS, AND COMPANY OF THE BANK OF WASHINGTON, DEFENDANTS IN ERROR","1824-03-13","Saturday"
"1824-031","22 U.S. 603","ex parte WOOD &amp; BRUNDAGE","1824-03-20","Saturday"
"1825-002","23 U.S. 181","CARNEAL AND OTHERS, APPELLANTS, v. BANKS, RESPONDENT","1825-02-19","Saturday"
"1825-003","23 U.S. 502","THE PALMYRA.  DEPAU, CLAIMANT","1825-02-19","Saturday"
"1825-005","23 U.S. 431","THE SANTA MARIA.  THE SPANISH CONSUL, LIBELLANT","1825-02-26","Saturday"
"1825-015","23 U.S. 465","DARBY'S LESSEE v. MAYER AND ANOTHER","1825-03-12","Saturday"
"1825-021","23 U.S. 333","THE PRESIDENT, DIRECTORS, AND COMPANY OF THE BANK OF THE UNITED STATES v. THE PRESIDENT, DIRECTORS, AND COMPANY OF THE BANK OF THE STATE OF GEORGIA","1825-03-19","Saturday"
"1825-022","23 U.S. 358","KEPLINGER v. DE YOUNG","1825-03-19","Saturday"
"1826-001","24 U.S. 309","WETZELL v. BUSSARD","1826-02-11","Saturday"
"1826-011","24 U.S. 320","FOWLE v. THE COMMON COUNCIL OF ALEXANDRIA","1826-03-11","Saturday"
"1826-014","24 U.S. 258","ARMSTRONG, PLAINTIFF IN ERROR, v. TOLER, DEFENDANT IN ERROR","1826-03-04","Saturday"
"1826-015","24 U.S. 332","DOE, EX DEM. GOVERNEUR'S HEIRS, v. ROBERTSON AND OTHERS","1826-03-04","Saturday"
"1826-022","24 U.S. 103","STEPHEN HARDING AND OTHERS, APPELLANTS, v. ASA HANDY AND CALEB WHEATON, RESPONDENTS","1826-03-11","Saturday"
"1826-030","24 U.S. 361","SHELBY AND OTHERS, EXECUTORS OF SHELBY, PLAINTIFFS IN ERROR, v. GUY, DEFENDANT IN ERROR","1826-03-18","Saturday"
"1827-004","25 U.S. 605","SCOTT AND OTHERS, APPELLANTS, v. SHREEVE AND OTHERS, RESPONDENTS","1827-01-20","Saturday"
"1827-013","25 U.S. 586","CHOTARD AND OTHERS v. POPE AND ANOTHER","1827-02-10","Saturday"
"1827-015","25 U.S. 193","MALLOW AND OTHERS v. HINDE","1827-02-17","Saturday"
"1827-016","25 U.S. 574","DUNLAP AND ANOTHER, APPELLANTS, v. DUNLAP AND OTHERS, RESPONDENTS","1827-02-17","Saturday"
"1827-017","25 U.S. 594","LIDDERDALE'S EXECUTORS v. THE EXECUTOR OF ROBINSON","1827-02-17","Saturday"
"1827-029","25 U.S. 523","HARCOURT AND OTHERS v. GAILLARD AND OTHERS","1827-03-03","Saturday"
"1827-037","25 U.S. 546","THE ANTELOPE.  THE SPANISH AND PORTUGUESE CONSULS, CLAIMANTS","1827-03-10","Saturday"
"1828-001","26 U.S. 318","PETER DOX, GERRIT LA GRANGE, AND ISAIAH TOWNSEND, IMPLEADED WITH GERRIT L. DOX, PLAINTIFFS IN ERROR, VS. THE POSTMASTER-GENERAL OF THE UNITED STATES, DEFENDANT IN ERROR","1828-01-19","Saturday"
"1828-003","26 U.S. 248","OLD GRANT, ON THE DEMISE OF SAMUEL MEREDITH, PLAINTIFF IN ERROR, VS. JOHN M'KEE, FOR THE USE OF THE BANK OF THE COMMONWEALTH OF KENTUCKY","1828-01-26","Saturday"
"1828-022","26 U.S. 328","JAMES ELLIOTT THE YOUNGER, BENJAMIN ELLIOTT, ANDERSON TAYLOR, REUBEN PATER, PATSEY ELLIOTT, AND WILFORD LEPELL, VS. THE LESSEE OF WILLIAM PEIRSOL, LYDIA PEIRSOL, ANN NORTH, JANE NORTH, SOPHIA NORTH, ELIZABETH F. P. NORTH, AND WILLIAM NORTH, DE","1828-02-16","Saturday"
"1828-048","26 U.S. 1","CLEMENT S. HUNT, APPELLANT, VS. CHRISTOPHER RHODES, WILLIAM ENNIS, AND RICHARD K. RANDOLPH, ADMINISTRATORS OF LEWIS ROUSMANIERE, DECEASED, APPELLEES","1828-03-15","Saturday"
"1828-049","26 U.S. 293","DANIEL PARKER, PLAINTIFF IN ERROR, VS. THE UNITED STATES","1828-03-15","Saturday"
